+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                             ;
+-------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; qsys_top_0|mm_interconnect_0|cmd_mux                                                                              ; 114   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|cmd_demux                                                                            ; 120   ; 16             ; 2            ; 16             ; 445    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|master_0_master_limiter                                                              ; 226   ; 0              ; 0            ; 0              ; 227    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_004|the_default_decode                                                        ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_004                                                                           ; 110   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_003|the_default_decode                                                        ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_003                                                                           ; 110   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_002|the_default_decode                                                        ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_002                                                                           ; 110   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_001|the_default_decode                                                        ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router_001                                                                           ; 110   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router|the_default_decode                                                            ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|router                                                                               ; 110   ; 0              ; 4            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|st_mux_2_to_1_0_control_port_agent_rsp_fifo                                          ; 150   ; 39             ; 0            ; 39             ; 109    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|st_mux_2_to_1_0_control_port_agent|uncompressor                                      ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|st_mux_2_to_1_0_control_port_agent                                                   ; 297   ; 39             ; 41           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|triple_speed_ethernet_0_control_port_agent_rsp_fifo                                  ; 150   ; 39             ; 0            ; 39             ; 109    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|triple_speed_ethernet_0_control_port_agent|uncompressor                              ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|triple_speed_ethernet_0_control_port_agent                                           ; 297   ; 39             ; 41           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_gen_0_avalon_slave_agent_rsp_fifo                                                ; 150   ; 39             ; 0            ; 39             ; 109    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_gen_0_avalon_slave_agent|uncompressor                                            ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_gen_0_avalon_slave_agent                                                         ; 297   ; 39             ; 41           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_mon_0_avalon_slave_agent_rsp_fifo                                                ; 150   ; 39             ; 0            ; 39             ; 109    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_mon_0_avalon_slave_agent|uncompressor                                            ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_mon_0_avalon_slave_agent                                                         ; 297   ; 39             ; 41           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|master_0_master_agent                                                                ; 189   ; 33             ; 80           ; 33             ; 142    ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|st_mux_2_to_1_0_control_port_translator                                              ; 115   ; 5              ; 24           ; 5              ; 76     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|triple_speed_ethernet_0_control_port_translator                                      ; 115   ; 5              ; 24           ; 5              ; 76     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_gen_0_avalon_slave_translator                                                    ; 115   ; 6              ; 28           ; 6              ; 72     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|eth_mon_0_avalon_slave_translator                                                    ; 115   ; 6              ; 29           ; 6              ; 71     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0|master_0_master_translator                                                           ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|mm_interconnect_0                                                                                      ; 203   ; 0              ; 1            ; 0              ; 193    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out1_0|gpio_one_bit.i_loop[0].altgpio_bit_i                              ; 12    ; 6              ; 5            ; 6              ; 4      ; 6               ; 6             ; 6               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out1_0                                                                   ; 15    ; 11             ; 0            ; 11             ; 1      ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out4_0|gpio_one_bit.i_loop[3].altgpio_bit_i                              ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out4_0|gpio_one_bit.i_loop[2].altgpio_bit_i                              ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out4_0|gpio_one_bit.i_loop[1].altgpio_bit_i                              ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out4_0|gpio_one_bit.i_loop[0].altgpio_bit_i                              ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_out4_0                                                                   ; 33    ; 23             ; 0            ; 23             ; 4      ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in1_0|gpio_one_bit.i_loop[0].altgpio_bit_i                               ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in1_0                                                                    ; 15    ; 13             ; 0            ; 13             ; 2      ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in4_0|gpio_one_bit.i_loop[3].altgpio_bit_i                               ; 12    ; 3              ; 8            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in4_0|gpio_one_bit.i_loop[2].altgpio_bit_i                               ; 12    ; 3              ; 8            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in4_0|gpio_one_bit.i_loop[1].altgpio_bit_i                               ; 12    ; 3              ; 8            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in4_0|gpio_one_bit.i_loop[0].altgpio_bit_i                               ; 12    ; 3              ; 8            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; qsys_top_0|triple_speed_ethernet_0|rgmii_in4_0                                                                    ; 33    ; 28             ; 0            ; 28             ; 8      ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0|i_tse_mac                                                                      ; 134   ; 21             ; 0            ; 21             ; 137    ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|triple_speed_ethernet_0                                                                                ; 98    ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|st_mux_2_to_1_0|st_mux_0|LPM_MUX_component|auto_generated                                              ; 81    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|st_mux_2_to_1_0|st_mux_0                                                                               ; 81    ; 6              ; 0            ; 6              ; 40     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|st_mux_2_to_1_0                                                                                        ; 121   ; 32             ; 31           ; 32             ; 73     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|rst_controller|alt_rst_req_sync_uq1                                                           ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|rst_controller|alt_rst_sync_uq1                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|rst_controller                                                                                ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|p2b_adapter                                                                                   ; 14    ; 8              ; 2            ; 8              ; 20     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|b2p_adapter                                                                                   ; 22    ; 0              ; 2            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|transacto|p2m                                                                                 ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|transacto                                                                                     ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|p2b                                                                                           ; 22    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|b2p                                                                                           ; 12    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|fifo                                                                                          ; 53    ; 41             ; 0            ; 41             ; 10     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|timing_adt                                                                                    ; 12    ; 0              ; 3            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser|crosser              ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser                      ; 13    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|output_stage           ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|out_to_in_synchronizer ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|in_to_out_synchronizer ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser                        ; 14    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_inserter        ; 12    ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_remover         ; 12    ; 2              ; 0            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming                      ; 20    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming                                     ; 19    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master|node                                                         ; 4     ; 3              ; 0            ; 3              ; 8      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0|jtag_phy_embedded_in_jtag_master                                                              ; 38    ; 27             ; 0            ; 27             ; 11     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|master_0                                                                                               ; 36    ; 0              ; 0            ; 0              ; 70     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc_aligner_u0                                                    ; 4     ; 0              ; 2            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc_comparator_u0                                                 ; 68    ; 32             ; 0            ; 32             ; 2      ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|byte_endian_converter_u1                      ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x0i                          ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x1i                          ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x2i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x3i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x4i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x5i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x6i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x7i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x8i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x9i                          ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x10i                         ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x11i                         ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x12i                         ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x13i                         ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x14i                         ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x15i                         ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; qsys_top_0|eth_mon_0|crcchk_inst|crc32_chk_inst|crc32_calculator_u0|crc32_u0|cr|d|cc|x16i                         ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
